Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Orkun Kökçü,Feyenoord,Eredivise,2022,21,Midfielder,CM,4,234,0,,0.356,0.137,0.356,0.137,0.644,,0.626,,0,,0.403,0.155,0.336,0.129,0.175,0.067,0.379,0.146,0.301,0.116,0.078,0.03
Cole Bassett,Fortuna Sittard,Eredivise,2022,21,Midfielder,CAM,4,97,0,,0.204,0.189,0.204,0.189,,,,,0,,0.126,0.117,0.125,0.116,0.174,0.161,0.16,0.148,0.046,0.042,0.114,0.106
Jarrad Branthwaite,PSV,Eredivise,2022,20,Defender,CB,2,119,0,,0.25,0.189,0.25,0.189,,,,,0,,0.009,0.007,0.009,0.007,0.174,0.131,0.048,0.036,0.04,0.03,0.008,0.006
Ferro,Vitesse,Eredivise,2022,25,Defender,CB,4,287,0,,0.021,0.007,0.021,0.007,,,,,0,,0.212,0.066,0.212,0.066,0.173,0.054,0.3,0.094,0.313,0.098,-0.013,-0.004
Burak Yilmaz,Fortuna Sittard,Eredivise,2022,37,Forward,FW,5,339,4,1.062,2.866,0.761,1.303,0.346,3.545,,1.415,,0,,0.147,0.039,0.147,0.039,0.17,0.045,0.253,0.067,-0.023,-0.006,0.276,0.073
Nick Viergever,FC Utrecht,Eredivise,2022,33,Defender,FB,5,450,0,,0.08,0.016,0.08,0.016,,,,,0,,0.2,0.04,0.195,0.039,0.165,0.033,0.386,0.077,0.273,0.055,0.114,0.023
Dirk Proper,N.E.C.,Eredivise,2022,20,Midfielder,CM,5,423,0,,0.368,0.078,0.368,0.078,,,,,0,,0.086,0.018,0.085,0.018,0.158,0.034,0.063,0.013,0.05,0.011,0.013,0.003
Lorenzo Burnet,FC Emmen,Eredivise,2022,31,Defender,FB,2,105,0,,0.023,0.019,0.023,0.019,,,,,0,,0.178,0.152,0.177,0.152,0.157,0.135,0.051,0.044,0.039,0.034,0.012,0.01
Jay Idzes,Go Ahead Eagles,Eredivise,2022,22,Midfielder,CB,4,360,0,,0.103,0.026,0.103,0.026,,,,,0,,0.221,0.055,0.221,0.055,0.157,0.039,0.477,0.119,0.452,0.113,0.026,0.006
Lorenzo Lucca,Ajax,Eredivise,2022,21,Forward,FW,1,21,0,,0.318,1.362,0.318,1.362,,,,,0,,,,,,0.157,0.672,0.003,0.011,-0.001,-0.006,0.004,0.017
