Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Muhammed Damar,TSG Hoffenheim,Bundesliga,2022,18,Midfielder,CM,2,55,0,,0.061,0.1,0.061,0.1,,,,,0,,0.029,0.048,0.029,0.048,-0.016,-0.027,0.047,0.076,0.037,0.06,0.01,0.016
Jonas Wind,VfL Wolfsburg,Bundesliga,2022,23,Forward,FW,1,34,0,,,,,,,,,,0,,0.019,0.049,0.019,0.049,-0.018,-0.049,-0.053,-0.14,-0.001,-0.003,-0.052,-0.137
Kristijan Jakic,Eintracht Frankfurt,Bundesliga,2022,25,Midfielder,DMC,5,315,0,,0.091,0.026,0.091,0.026,0.069,,-0.007,,0,,0.094,0.027,0.086,0.025,-0.02,-0.006,0.29,0.083,0.254,0.073,0.035,0.01
Almamy Touré,Eintracht Frankfurt,Bundesliga,2022,26,Defender,FB,2,163,0,,0.039,0.021,0.039,0.021,,,,,0,,0.008,0.004,0.007,0.004,-0.02,-0.011,0.059,0.033,0.04,0.022,0.02,0.011
Ozan Kabak,TSG Hoffenheim,Bundesliga,2022,22,Defender,CB,5,450,1,0.2,0.173,0.035,0.173,0.035,0.204,,0.162,,0,,0.09,0.018,0.09,0.018,-0.027,-0.005,0.353,0.071,0.132,0.026,0.221,0.044
Silvère Ganvoula,VfL Bochum 1848,Bundesliga,2022,26,Forward,FW,2,15,0,,,,,,,,,,0,,0.002,0.014,0.002,0.014,-0.029,-0.174,-0.019,-0.114,-0.019,-0.114,,
Robert Gumny,FC Augsburg,Bundesliga,2022,24,Defender,FB,3,188,0,,,,,,,,,,0,,0.008,0.004,0.008,0.004,-0.031,-0.015,0.026,0.013,0.025,0.012,0.001,0.001
Christopher Trimmel,1. FC Union Berlin,Bundesliga,2022,35,Defender,FB,4,278,0,,0.039,0.012,0.039,0.012,0.015,,-0.013,,2,0.647,0.071,0.023,0.039,0.013,-0.031,-0.01,0.116,0.037,0.104,0.034,0.012,0.004
Sasa Kalajdzic,VfB Stuttgart,Bundesliga,2022,,,,3,235,0,,0.268,0.103,0.268,0.103,0.209,,0.147,,3,1.149,0.373,0.143,0.373,0.143,-0.032,-0.012,-0.035,-0.013,-0.031,-0.012,-0.004,-0.001
Adam Hlozek,Bayer 04 Leverkusen,Bundesliga,2022,20,Forward,FW,3,152,0,,0.208,0.123,0.208,0.123,0.534,,0.451,,0,,0.407,0.241,0.165,0.098,-0.042,-0.025,-0.007,-0.004,-0.023,-0.014,0.016,0.009
