Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Francisco Conceição,Ajax,Eredivise,2022,19,Forward,FW,1,29,0,,,,,,,,,,0,,0.012,0.039,0.012,0.039,-0.008,-0.026,0.078,0.242,0.036,0.11,0.043,0.132
Sam Hendriks,SC Cambuur,Eredivise,2022,27,Forward,FW,1,7,0,,,,,,,,,,0,,,,,,-0.009,-0.122,,,,,,
Max Bruns,FC Twente,Eredivise,2022,19,Midfielder,CM,2,135,0,,,,,,,,,,0,,0.021,0.014,0.021,0.014,-0.011,-0.008,0.092,0.061,0.042,0.028,0.05,0.034
Felix Mambimbi,SC Cambuur,Eredivise,2022,21,Forward,FW,2,106,0,,0.102,0.087,0.102,0.087,0.083,,0,,0,,0.009,0.008,0.009,0.008,-0.015,-0.012,0.049,0.042,-0.018,-0.016,0.068,0.057
Mimoun Mahi,FC Utrecht,Eredivise,2022,28,Forward,WAM,2,31,0,,,,,,,,,,0,,0,0,0,0,-0.016,-0.046,0.009,0.027,-0.002,-0.007,0.012,0.034
Mohamed Taabouni,Feyenoord,Eredivise,2022,20,Midfielder,CAM,1,13,0,,0.076,0.529,0.076,0.529,,,,,0,,0.002,0.014,0.002,0.014,-0.017,-0.117,0.037,0.256,0.005,0.035,0.032,0.221
Xander Blomme,Go Ahead Eagles,Eredivise,2022,20,Midfielder,CM,1,1,0,,,,,,,,,,0,,,,,,-0.018,-1.607,,,,,,
Taylor Booth,FC Utrecht,Eredivise,2022,21,Midfielder,CM,4,143,0,,,,,,,,,,0,,0.181,0.114,0.028,0.018,-0.025,-0.016,-0.005,-0.003,-0.006,-0.004,0.002,0.001
Léon Bergsma,SC Cambuur,Eredivise,2022,25,Defender,CB,3,212,0,,0.04,0.017,0.04,0.017,0.022,,-0.018,,0,,0.029,0.012,0.027,0.012,-0.026,-0.011,0.185,0.078,0.096,0.041,0.089,0.038
Mats Wieffer,Feyenoord,Eredivise,2022,22,Midfielder,CM,1,16,0,,0.093,0.522,0.093,0.522,,,,,0,,0.011,0.062,0.011,0.062,-0.027,-0.152,0.003,0.017,-0.001,-0.008,0.005,0.026
Joshua Eijgenraam,Excelsior Rotterdam,Eredivise,2022,20,Midfielder,CM,6,357,0,,0.096,0.024,0.096,0.024,,,,,0,,0.022,0.006,0.022,0.005,-0.035,-0.009,0.012,0.003,-0.012,-0.003,0.023,0.006
Patrick Joosten,FC Groningen,Eredivise,2022,26,Forward,WAM,1,28,0,,,,,,,,,,0,,0.002,0.006,0.002,0.006,-0.036,-0.115,0.007,0.023,0.006,0.021,0.001,0.003
Mark van der Maarel,FC Utrecht,Eredivise,2022,33,Defender,FB,5,376,0,,,,,,,,,,0,,0.091,0.022,0.088,0.021,-0.04,-0.01,0.295,0.071,0.28,0.067,0.015,0.004
Pim Saathof,Go Ahead Eagles,Eredivise,2022,18,Midfielder,CM,2,18,0,,0.025,0.124,0.025,0.124,0.037,,0.012,,0,,0.007,0.034,0.006,0.031,-0.047,-0.237,0.011,0.057,-0.001,-0.005,0.012,0.062
Jahnoah Markelo,Go Ahead Eagles,Eredivise,2022,19,Midfielder,CM,2,62,0,,,,,,,,,,0,,0.012,0.018,0.012,0.018,-0.052,-0.076,-0.015,-0.022,-0.03,-0.044,0.015,0.022
Marco Tol,SC Cambuur,Eredivise,2022,24,Defender,CB,6,528,0,,,,,,,,,,0,,0.093,0.016,0.092,0.016,-0.056,-0.01,0.432,0.074,0.302,0.052,0.13,0.022
