Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Elbasan Rashani,Clermont,Ligue 1,2022,29,Midfielder,CAM,5,213,0,,,,,,,,,,0,,0.067,0.028,0.067,0.028,0.032,0.014,0.076,0.032,0.069,0.029,0.007,0.003
Maxime Dupé,Toulouse,Ligue 1,2022,29,Goalkeeper,GK,7,630,0,,,,,,,15.571,,0.294,0,,0.043,0.006,0.041,0.006,0.031,0.004,0.186,0.027,0.174,0.025,0.012,0.002
Jean Onana,Lens,Ligue 1,2022,22,Midfielder,DMC,1,19,0,,0.012,0.059,0.012,0.059,,,,,0,,0.02,0.092,0.02,0.092,0.03,0.141,-0.007,-0.035,-0.017,-0.079,0.009,0.044
Mohamed Achi,Nantes,Ligue 1,2022,20,Midfielder,CM,2,34,0,,0.036,0.094,0.036,0.094,,,,,0,,0.007,0.018,0.007,0.018,0.028,0.073,0.045,0.119,-0.015,-0.04,0.06,0.16
Henrique,Lyon,Ligue 1,2022,28,Defender,FB,2,37,0,,0.029,0.07,0.029,0.07,,,,,0,,0.005,0.013,0.005,0.012,0.027,0.067,0.007,0.018,-0.006,-0.015,0.014,0.033
Michael Barreto,Ajaccio,Ligue 1,2022,31,Midfielder,WAM,2,82,0,,,,,,,,,,0,,0.07,0.077,0.035,0.039,0.026,0.029,0.042,0.046,0.042,0.046,0,0
Montassar Talbi,Lorient,Ligue 1,2022,24,Defender,CB,7,630,0,,0.056,0.008,0.056,0.008,0.063,,0.041,,0,,0.032,0.005,0.031,0.004,0.026,0.004,0.126,0.018,0.091,0.013,0.035,0.005
Jonas Martin,Lille,Ligue 1,2022,32,Midfielder,CM,3,57,0,,,,,,,,,,0,,0.034,0.054,0.034,0.054,0.024,0.038,0.045,0.071,0.018,0.028,0.027,0.043
Yvon Mvogo,Lorient,Ligue 1,2022,28,Goalkeeper,GK,7,630,0,,,,,,,9.221,,-0.193,0,,0.034,0.005,0.028,0.004,0.023,0.003,0.142,0.02,0.14,0.02,0.002,0
Malang Sarr,Monaco,Ligue 1,2022,23,Defender,CB,4,171,0,,,,,,,,,,0,,0.027,0.014,0.027,0.014,0.022,0.011,0.116,0.061,0.091,0.048,0.025,0.013
Loïc Badé,Rennes,Ligue 1,2022,,,,1,90,0,,0.145,0.145,0.145,0.145,,,,,1,1,0.007,0.007,0.007,0.007,0.021,0.021,0.25,0.25,0.04,0.04,0.21,0.21
Dogan Alemdar,Rennes,Ligue 1,2022,19,Goalkeeper,GK,3,225,0,,,,,,,2.036,,-0.474,0,,0.023,0.009,0.023,0.009,0.02,0.008,0.068,0.027,0.069,0.028,-0.001,-0.001
Houssem Aouar,Lyon,Ligue 1,2022,24,Midfielder,CM,1,30,0,,,,,,,,,,0,,0.023,0.069,0.022,0.066,0.02,0.059,0.013,0.04,0.017,0.05,-0.003,-0.01
Benoît Costil,Auxerre,Ligue 1,2022,35,Goalkeeper,GK,7,630,0,,,,,,,14.998,,-0.067,0,,0.039,0.006,0.028,0.004,0.02,0.003,0.158,0.023,0.155,0.022,0.003,0
Fernand Mayembo,Ajaccio,Ligue 1,2022,26,Defender,CB,3,263,0,,0.168,0.058,0.168,0.058,,,,,0,,0.009,0.003,0.008,0.003,0.02,0.007,0.015,0.005,-0.007,-0.003,0.023,0.008
Flavius Daniliuc,Nice,Ligue 1,2022,,,,2,91,0,,,,,,,,,,0,,0.026,0.026,0.025,0.025,0.019,0.019,0.037,0.037,0.008,0.008,0.029,0.029
Marco Bizot,Brest,Ligue 1,2022,31,Goalkeeper,GK,7,630,0,,,,,,,14.264,,-0.192,0,,0.027,0.004,0.024,0.003,0.018,0.003,0.123,0.018,0.129,0.018,-0.006,-0.001
Patrick Pentz,Reims,Ligue 1,2022,25,Goalkeeper,GK,7,630,0,,,,,,,11.046,,-0.177,0,,0.026,0.004,0.025,0.004,0.018,0.003,0.116,0.017,0.112,0.016,0.004,0.001
Melvin Bard,Nice,Ligue 1,2022,21,Defender,FB,7,527,0,,,,,,,,,,0,,0.093,0.016,0.087,0.015,0.018,0.003,0.285,0.049,0.211,0.036,0.074,0.013
Martin Adeline,Reims,Ligue 1,2022,18,Midfielder,CM,3,63,0,,0.041,0.059,0.041,0.059,,,,,0,,0.002,0.003,0.002,0.003,0.017,0.025,-0.006,-0.009,-0.008,-0.012,0.002,0.003
